2023-12-19 01:36:34 [DEBUG] - C:\Users\Belal\Downloads\Conquer Online\Pinthole source 5517\zfserver v2.5517\zfserver v2.5517\MsgServer\bin\Debug
2023-12-19 01:36:34 [DEBUG] - Computer Name: DESKTOP-MVA152F
2023-12-19 01:36:34 [DEBUG] - User Name: Belal
2023-12-19 01:36:34 [DEBUG] - System Directory: C:\Windows\system32
2023-12-19 01:36:34 [DEBUG] - Some environment variables:
2023-12-19 01:36:34 [DEBUG] - OS=Microsoft Windows NT 6.2.9200.0
2023-12-19 01:36:34 [DEBUG] - NUMBER_OF_PROCESSORS: 8
2023-12-19 01:36:34 [DEBUG] - PROCESSOR_ARCHITETURE: x64
2023-12-19 01:36:34 [MESSAGE] - Initializing game server...
2023-12-19 01:36:34 [MESSAGE] - Initializing blowfish
2023-12-19 01:36:34 [MESSAGE] - Initializing Database
2023-12-19 01:36:36 [MESSAGE] - Decoding map files...
2023-12-19 01:36:36 [MESSAGE] - An item with the same key has already been added.
2023-12-19 01:36:36 [MESSAGE] - Filling server with map information...
2023-12-19 01:36:36 [MESSAGE] - Map [1857] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [601] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1986] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [900000] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1082] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1858] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1760] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [700] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1090] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1761] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1354] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [6072] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1987] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1860] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1001] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1762] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1360] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1988] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1036] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1000] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1763] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1091] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1924] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1003] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1764] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1098] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1989] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1765] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1927] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1004] Loaded...
2023-12-19 01:36:36 [MESSAGE] - Map [1037] Loaded...
